1,21,51,89,128
131,151,173,212,238
301,321,351,379,405
408,431,463,492,527
538,555,591,624,659
662,681,706,736,765
779,798,832,862,904
908,927,952,985,1009
1012,1032,1054,1083,1114
1115,1135,1195,1228,1262
1265,1285,1337,1372,1400
1401,1422,1452,1484,1508
1913,1933,1955,2002,2028
2029,2049,2073,2115,2141
2145,2164,2186,2218,2242
2249,2268,2294,2347,2388
2391,2411,2441,2482,2514
2581,2600,2622,2656,2685
2689,2708,2732,2761,2785
2791,2808,2842,2875,2901
2902,2936,2968,2998,3022
3025,3044,3066,3094,3125
3132,3151,3191,3220,3251
3252,3276,3307,3341,3371
3384,3407,3448,3484,3516
3523,3542,3576,3616,3676
3679,3702,3726,3760,3792
3799,3818,3842,3884,3910
3913,3932,3962,3995,4019
4028,4044,4077,4108,4136
4144,4160,4186,4220,4248
4253,4269,4299,4356,4403
4426,4442,4466,4494,4530
4535,4551,4573,4602,4626
4629,4648,4679,4708,4738
4747,4766,4790,4825,4854
4859,4875,4902,4931,4969
4972,4991,5013,5062,5088
5089,5108,5133,5163,5195
5205,5221,5243,5276,5312
5571,5591,5621,5653,5681
5890,5710,5756,5784,5810
5811,5831,5853,5887,5934
5937,5956,5993,6023,6050
6076,6098,6131,6162,6191
6216,6232,6282,6316,6348
6357,6373,6399,6439,6471
6478,6494,6518,6553,6582
6585,6613,6637,6678,6706
6710,6726,6750,6791,6825
6827,6846,6878,6908,6932
