1,11,21,57,94,111,117
120,184,201,230,262,279,336
344,353,371,440,492,524,532
537,546,558,581,616,646,652
653,662,678,704,736,757,777
778,787,797,829,863,887,919
994,1003,1017,1041,1082,1104,1110
1119,1129,1140,1166,1201,1225,1233
1236,1245,1260,1287,1321,1357,1363
1366,1376,1387,1409,1444,1462,1482
1543,1592,1602,1627,1696,1726,1736
1739,1748,1758,1780,1813,1839,1849
1856,1866,1883,1909,1956,1980,1989
1991,2000,2012,2039,2075,2191,2203
2204,2213,2230,2260,2342,2362,2366
2371,2380,2402,2424,2457,2481,2486
2487,2496,2515,2545,2577,2599,2605
2614,2624,2637,2659,2699,2719,2723
2726,2735,2745,2769,2807,2829,2833
2834,2843,2855,2897,2940,2958,2981
2997,3006,3024,3050,3086,3108,3116
3119,3128,3145,3169,3203,3223,3229
3230,3239,3251,3286,3323,3341,3345
3348,3357,3370,3406,3449,3469,3475
3476,3485,3498,3526,3558,3580,3584
3587,3596,3606,3628,3693,3738,3748
3751,3760,3774,3798,3830,3855,3859
3862,3871,3881,3903,3940,3959,3907
3968,3977,3988,4013,4048,4066,4071
4072,4081,4091,4130,4362,4183,4204
4224,4233,4244,4268,4300,4322,4326
4385,4394,4405,4438,4472,4492,4498
4099,4508,4519,4544,4577,4594,4598
4601,4610,4620,4662,4718,4753,4705
4774,4783,4798,4822,4861,4889,4900
4901,4911,4926,4950,4982,5005,5025
5026,5035,5049,5071,5109,5126,5138
5141,5151,5162,5184,5219,5262,5266
5293,5303,5319,5347,5382,5398,5404
5611,5610,5626,5652,5687,5711,5718
5725,5735,5752,5778,5812,5830,5848
5849,5858,5870,5952,5990,6036,6043
6048,6057,6071,6100,6134,6160,6164
6167,6177,6190,6212,6244,6266,6328
6331,6340,6351,6375,6421,6441,6449
6601,6610,6625,6649,6688,6722,6725
6811,6820,6838,6876,6924,6853,6961
7233,7242,7253,7306,7352,7375,7391
7394,7403,7413,7435,7482,7528,7542
7547,7556,7566,7599,7632,7683,7691
