bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,pac_num,tcp_num,ack_num,sum_byte,mean_payload,stand_payload,skew_payload,kurt_payload,time_duration,avg_byte,pop_byte,pop_pac_num,push_byte,push_pac_num,class_value
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09537291526794434,2956.814303177567,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09457802772521973,2981.6650524718357,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09443497657775879,3155.6104612852164,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09228301048278809,3229.196776752105,152,2,0,1,1
5,4,0,0,0,5,0,0,0,4,9,1,4,580,64.4444444444,76.6862293882,0.295203076559,-2.50745424498,1.7365970611572266,333.986514760944,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.06720399856567383,4434.259960124027,304,4,130,4,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.08317899703979492,3390.278916985307,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09180998802185059,3245.8342106424916,152,2,0,1,1
25,6,0,2,0,25,4,2,0,2,33,5,14,2394,72.5454545455,132.97393798,2.49535593341,6.30485411291,2.680574893951416,893.0920025409258,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.08849406242370605,3186.6544746222094,612,14,1782,18,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.0918121337890625,3245.758351337876,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.10760617256164551,2769.357862154994,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09446001052856445,2985.390308788119,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09564089775085449,2948.529411911344,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.0734257698059082,3840.613462350229,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09548592567443848,3120.8787881057788,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09442806243896484,3155.8415189617735,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.0718221664428711,4149.136885713906,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.08325505256652832,3387.181814276755,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09993100166320801,2821.9470965617775,152,2,0,1,1
4,4,0,0,0,4,0,0,0,4,8,0,4,580,72.5,77.8037825008,0.0274127712699,-2.74316073024,1.4114959239959717,410.9115656232354,152,2,0,1,1
6,6,0,0,0,6,0,0,0,6,12,0,6,878,73.1666666667,76.6358963284,0.018406154595,-2.41370866649,2.5734329223632812,341.17850609982065,304,4,146,3,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09496021270751953,2969.664788647525,456,6,276,5,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.07824087142944336,3604.2543346964644,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.0975198745727539,2891.718239338138,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.08905696868896484,3346.1727295117953,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.0934298038482666,3018.3088092315625,152,2,0,1,1
6,2,0,0,0,6,0,0,0,2,8,4,2,282,35.25,65.5346146268,1.474767621,0.223802077399,0.43548583984375,647.5526278906798,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09030389785766602,3122.7887908501907,152,2,130,5,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09697604179382324,2907.934730926104,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.10112500190734863,2946.847904863621,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.10067200660705566,2801.175912790794,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09558582305908203,2950.228297199413,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.07438397407531738,4006.239296898288,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.10177302360534668,2928.084372884294,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.09865999221801758,2858.301462023634,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09276890754699707,3212.283165553417,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.10149192810058594,2778.5460900941534,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,298,74.5,86.0600565497,0.00420778840128,-5.97571124252,0.09471607208251953,3146.245335642438,152,2,0,1,1
2,2,0,0,0,2,0,0,0,2,4,0,2,282,70.5,81.9003459496,0.0621122511711,-5.64247288113,0.08119010925292969,3473.329480583551,152,2,0,1,1
